"","worker","status","duration","condition","setup","seed","consistency","consistency.other","decision","extra.feedback","judge.bad","judge.bad.other","judge.good","judge.good.other","motives","motives.other","opt.balanced","opt.nobad","opt.nogood","opt.obvious","opt.stakes","out.bad","out.broken","out.expected","out.fair","out.good","out.happy","out.regret","out.sense","out.trick","out.unexpected","out.unfair","best.option","decision.case","popular.option","was.obvious","judge.bad.c.avatar","judge.bad.c.interesting","judge.bad.c.no.control","judge.bad.c.value.clash","judge.bad.c.power","judge.bad.c.progress","judge.bad.c.other","judge.good.c.interesting","judge.good.c.role","judge.good.c.avatar","judge.good.c.power","judge.good.c.progress","judge.good.c.other","motives.c.curious","motives.c.avatar","motives.c.interesting","motives.c.other","motives.c.power","motives.c.role","motives.c.speed"
"76","40","Approved",1411,"unexpected_failure","monster_attack","57614","variable","{}",2,"{}","avatar|no-control|power","{}","interesting|role|power","{}","curious|role|interesting","{}","2","5","5","4","2","5","2","1","2","1","2","5","4","1","5","3",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"77","86","Approved",737,"unexpected_failure","monster_attack","57614","no-exp","{}",2,"Thank you.","avatar","{}","power","{}","avatar|interesting","{}","4","4","1","5","2","5","5","1","2","2","2","4","1","1","5","5",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"78","32","Approved",366,"unexpected_failure","market","46585","consistent","{}",1,"{}","avatar|power|progress","{}","avatar|interesting|role|power|progress","{}","role","{}","4","2","4","2","3","4","2","1","4","3","2","4","4","1","4","3",NA,"main","1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"79","37","Approved",769,"unexpected_failure","market","46585","variable","{}",1,"This hit was actually interesting. Thanks!! :)","avatar|interesting|no-control|value-clash|power|progress","{}","avatar|interesting|role|progress","{}","avatar|power","{}","2","2","2","4","2","4","2","3","3","2","4","2","4","1","2","3",NA,"main","1",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"81","141","Approved",3171,"unexpected_failure","market","46585","variable","{}",1,"I generally would have to adjust my character's behavior to fit the situation I am in, and decide which seems to have the best overall projected outcome.","avatar|power|progress","{}","avatar|interesting|power|progress","{}","speed|power","{}","3","2","4","2","3","3","2","3","3","2","2","3","4","1","1","3",NA,"main","1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"82","149","Approved",1443,"unexpected_failure","market","46585","variable","{}",1,"{}","avatar|power","{}","avatar|interesting|role|power|progress","{}","curious|role|power","{}","4","3","2","2","4","5","1","3","3","1","1","5","3","1","2","3",NA,"main","1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"83","168","Approved",301,"unexpected_failure","market","46585","variable","{}",3,"{}","avatar|value-clash|power","{}","avatar|interesting|role|power","{}","curious|role|avatar|power","{}","3","2","2","2","2","2","2","2","4","3","3","5","4","1","2","2",NA,"main","1",NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"84","17","Approved",1186,"unexpected_failure","market","46585","variable","{}",3,"This is one of the best surveys I've ever taken, thanks!

I hope I got the 18 year old confirmation correct. I considered spelling the words backwards but didn't. 
I typed: ""I confirm that I am at least eighteen years of age.""","avatar|interesting|power|progress","{}","avatar|interesting|role|power|progress","{}","curious|role|avatar|power","{}","4","2","1","1","5","5","4","1","2","1","2","5","2","1","4","4",NA,"main","1",NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"86","169","Approved",551,"unexpected_failure","market","46585","variable","{}",3,"I'd be interested in finding more about what this HIT is about: kaksonen1@yahoo.com","no-control|value-clash","{}","avatar|interesting|role|power|progress|other","As this reminds me when I was young (I'm 40) and played a lot of text adventures, I would have wished there was a bit more development before making a choice or if the this experiment had me make several choices rather than one. I was actually hopeful for the latter.","role|avatar|power","{}","1","1","1","2","1","1","1","4","4","3","5","1","4","1","1","1",NA,"main","1",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"87","92","Approved",452,"unexpected_failure","market","46585","consistent","{}",1,"I really enjoyed this. Thank you for the opportunity,","value-clash","{}","avatar","{}","avatar","{}","4","5","1","4","2","5","1","4","4","1","3","2","5","1","2","1",NA,"main","1",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"88","88","Approved",486,"unexpected_failure","market","46585","variable","{}",1,"{}","avatar|no-control|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","avatar|power","{}","3","4","3","2","2","4","1","2","2","2","1","4","3","1","2","3",NA,"main","1",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"90","105","Approved",1521,"unexpected_failure","market","46585","variable","{}",3,"This was one of the most fun and interesting surveys I have done in awhile.  Thanks for making it about making decisions and choices as I normally would.","avatar|no-control|value-clash|power|progress","{}","avatar|role|progress","{}","role|avatar|interesting|other","It wasn't a situation I had to be in.  I didn't have to say anything. My objective was to reach my destination so that I could make the most.  Why waste any resources when I didn't need to.","2","2","1","4","5","1","2","4","5","5","5","1","4","1","2","1",NA,"main","1",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"92","90","Approved",572,"unexpected_failure","market","46585","variable","{}",3,"I really wish I could see what the other choices would have had as an outcome.","power","{}","power","{}","power","{}","4","2","1","2","5","1","1","2","5","2","4","4","5","1","2","1",NA,"main","1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"93","133","Approved",365,"obvious_success","threatened_innocents","47371","consistent","{}",2,"{}","no-control|power","{}","avatar","{}","avatar|interesting|power","{}","2","2","1","5","4","2","2","4","5","4","5","1","5","1","4","2",2,"main","2",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"94","50","Approved",305,"obvious_success","threatened_innocents","47371","variable","{}",2,"{}","avatar|interesting|no-control|value-clash|progress","{}","avatar|interesting|role|power|progress","{}","avatar","{}","1","1","1","5","5","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"95","120","Approved",1084,"obvious_success","threatened_innocents","47371","variable","{}",1,"{}","avatar|no-control|value-clash|power","{}","avatar|interesting|role","{}","role","{}","1","3","5","2","2","5","2","1","1","1","1","5","4","1","5","4",2,"alt","2",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"96","139","Approved",307,"obvious_success","threatened_innocents","47371","consistent","{}",2,"Love this hit so much; I grew up reading choose-your-own adventure books and now am heavily into MMO's, with World of Warcraft being my constant lover, but have dabbled in others.","avatar|interesting|power|progress","{}","avatar|interesting|role|power|progress","{}","speed|curious|role|avatar","{}","1","1","1","5","2","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"97","16","Approved",529,"obvious_success","threatened_innocents","47371","variable","{}",2,"{}","power|progress","{}","avatar|role|power|progress","{}","role|avatar|interesting|power","{}","1","1","2","5","3","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"98","38","Approved",436,"obvious_success","threatened_innocents","47371","variable","{}",1,"{}","avatar","{}","avatar|interesting","{}","role|avatar","{}","2","5","1","4","1","4","1","4","2","1","1","5","5","1","2","2",2,"alt","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"99","113","Approved",609,"obvious_success","threatened_innocents","47371","variable","{}",2,"That was a really fun survey. Thanks!","value-clash|power","{}","avatar|interesting|role|power","{}","curious|role|avatar","{}","1","1","1","5","1","1","1","2","5","5","5","1","5","1","4","1",2,"main","2",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"101","132","Approved",860,"obvious_success","threatened_innocents","47371","consistent","{}",2,"Very interesting questions, and aligned to my interests (role-playing). Thank you!","avatar|power|progress","{}","avatar|role|power|progress","{}","avatar|interesting|power|other","When role-playing I generally take the most benevolent choices. In this case, I did not want the leave the merchant to be harassed by the bandits. A second motivation, which is more self-serving, is that I hope the merchant will reward me.","2","4","1","5","5","1","1","5","4","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"103","63","Approved",461,"obvious_success","threatened_innocents","47371","variable","{}",2,"{}","interesting|no-control","{}","role","{}","avatar","{}",NA,"1","1","5","1","1","1","5","4","5","5","4","4","1","1","1",2,"main","2",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"104","164","Approved",6273,"obvious_success","threatened_innocents","47371","consistent","{}",2,"Thanks for the opportunity to participate and good luck with your research.   In interactive experiences, I think that I tend to immerse myself in the character and I try to select the option that provides the best outcome for my character in that particular scenario.   Thanks again!","avatar","{}","role","{}","avatar|power","{}","1","1","1","4","2","1","1","4","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"105","33","Approved",309,"obvious_success","threatened_innocents","47371","variable","{}",2,"{}","avatar|no-control|power|progress","{}","avatar|progress","{}","avatar|interesting|power","{}","2","1","1","5","2","1","2","4","5","4","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"106","121","Approved",5463,"obvious_success","threatened_innocents","47371","variable","{}",2,"This was a fun survey to take. Thank you for posting it. I enjoyed reading the interactive story and making a choice.","avatar","{}","avatar","{}","role|power","{}","2","2","2","4","2","1","1","4","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"107","157","Approved",2047,"obvious_success","threatened_innocents","47371","no-exp","{}",2,"{}","avatar|interesting|no-control|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","avatar|interesting|power","{}","2","2","2","4","2","2","2","4","4","4","4","1","4","1","2","2",2,"main","2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"108","122","Approved",428,"obvious_success","monster_attack","9114","variable","{}",2,"I am probably going to write way too much here, but this actually touches on something I think a lot about, what makes for good vs bad storytelling.  I love when a world I'm immersed in makes a thorough attempt to make sure that the rules of the story are consistent with the rules of the world.  Nothing throws me out of the story faster than if something is inconsistent.  If I had picked any of the other options and somehow escaped, I would have felt the outcome was bad, because I did NOT have the skills necessary to complete said outcome.

Thanks for this, this was an amazing HIT on a rainy Saturday.","other","I feel an outcome is bad when it does NOT make sense within the context of the story.","interesting|role|progress|other","I feel an outcome is good when it makes sense within the context of the story.","avatar|power","{}","1","1","1","5","3","1","1","3","5","5","5","1","5","1","4","1",2,"main","2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"110","7","Approved",463,"obvious_success","monster_attack","9114","consistent","{}",2,"nice HIT, thanks for using Mturk! Have a great day! :)","avatar|interesting|no-control|value-clash|power|progress","{}","avatar|role|power|progress","{}","speed|curious|role|avatar|interesting|power","{}","1","1","1","5","1","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"111","64","Approved",6384,"obvious_success","monster_attack","9114","consistent","{}",2,"No comments","avatar|progress","{}","avatar|progress","{}","role|avatar|power","{}","1","1","1","5","1","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"113","58","Approved",225,"obvious_success","monster_attack","9114","variable","{}",2,"Nothing else, interesting HIT, thank you!","avatar|interesting|no-control|value-clash|power|progress","{}","avatar|role|power|progress","{}","speed|curious|role|avatar|power","{}","2","2","2","5","3","1","2","4","5","5","5","1","5","1","2","1",2,"main","2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"114","153","Approved",1146,"obvious_success","monster_attack","9114","variable","{}",2,"{}","avatar|no-control","{}","avatar|progress","{}","role|power","{}","4","4","2","5","2","1","2","5","5","5","5","2","5","1","1","2",2,"main","2",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"115","204","Approved",399,"obvious_success","monster_attack","9114","variable","{}",2,"{}","avatar|value-clash|power|progress","{}","avatar|power|progress","{}","power","{}","3","1","1","5","1","1","1","3","5","5","5","1","5","1","3","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"116","75","Approved",937,"obvious_success","monster_attack","9114","consistent","{}",2,"Interesting!","avatar|power|progress","{}","avatar|interesting|power|progress","{}","role|avatar|interesting|power","{}","2","2","1","5","2","1","1","5","5","5","5","1","5","1","2","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"117","104","Approved",396,"obvious_success","monster_attack","9114","variable","{}",2,"Thank you for the opportunity. Very, very cool.","avatar|progress","{}","avatar|interesting|progress","{}","avatar","{}","2","1","1","5","2","1","1","4","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"118","21","Approved",610,"obvious_success","monster_attack","9114","variable","{}",2,"I hope that the attention check sentence writing isn't case sensitive.","avatar|progress","{}","avatar","{}","power","{}","2","2","4","5","5","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"119","134","Approved",261,"obvious_success","monster_attack","9114","no-exp","{}",2,"{}","avatar|no-control|power|progress","{}","avatar|progress","{}","role|power","{}","2","2","1","5","1","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"120","20","Approved",677,"obvious_success","monster_attack","9114","variable","{}",2,"{}","avatar|interesting|power","{}","avatar|interesting|role","{}","role|avatar|power","{}","4",NA,"1","4","1","1","1","5","5","5","5","1","5","1","1","1",2,"main","2",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"121","173","Approved",363,"obvious_success","monster_attack","9114","variable","na",2,"this was a great hit..super interesting","avatar|progress","I feel an outcome is bad if my character dies","avatar|other","I feel an outcome is good if im still alive","power","n/a","3","3","1","5","2","1","1","4","5","5","5","1","5","1","2","1",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"125","202","Approved",1784,"obvious_success","market","20739","variable","{}",2,"interesting HIT. would have liked to see some sort of debriefing to see what you were studying in this HIT","avatar","{}","avatar|progress","{}","avatar","{}","2","2","2","4","3","1","1","4","4","4","4","2","4","1","1","1",1,"alt","2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"126","45","Approved",909,"obvious_success","market","20739","variable","{}",2,"i LOVED this hit/survey, i wish there were more to do like it","avatar|power|progress","{}","avatar|interesting|role","{}","curious|role","{}","1","1","2","2","3","1","1","5","3","4","3","3","4","1","1","1",1,"alt","2",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"130","99","Approved",1836,"obvious_success","market","20739","variable","{}",1,"{}","avatar|interesting|power|progress","{}","role|power","{}","curious|interesting","{}","5","1","5","1","1","5","5","1","4","1","1","5","1","1","5","2",1,"main","2",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"131","200","Approved",241,"obvious_success","market","20739","variable","{}",1,"{}","no-control","{}","interesting|role","{}","role|power","{}","2","2","2","4","3","2","2","5","5","4","4","3","5","1","1","1",1,"main","2",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"132","185","Approved",414,"obvious_success","market","20739","no-exp","{}",2,"{}","progress","{}","progress","{}","power","{}","4","4","2","4","4","1","1","5","4","4","3","4","5","1","1","1",1,"alt","2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"133","61","Approved",422,"obvious_success","market","20739","consistent","{}",2,"none - thank you!","power","{}","power","{}","avatar","{}","2","2","2","2","5","1","1","4","5","4","4","2","5","1","1","2",1,"alt","2",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"136","195","Approved",272,"obvious_success","market","20739","variable","{}",3,"{}","no-control|power|progress","{}","interesting|power|progress","{}","curious|interesting","{}","3","1","1","2","4","4","2","1","3","2","2","4","2","1","4","3",1,"alt","2",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"137","118","Approved",286,"obvious_success","market","20739","variable","{}",2,"No comment","avatar|power|progress","{}","other","I feel an outcome is good if nothing bad happens to my character.","curious|avatar|power","{}","2","2","3","4","4","1","1","5","5","4","5","2","5","1","1","1",1,"alt","2",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"142","155","Approved",311,"obvious_failure","threatened_innocents","8638","variable","{}",2,"{}","avatar|interesting|no-control|power|progress","{}","avatar|interesting|role|power|progress","{}","role|power","{}","1","1","1","5","3","5","5","1","1","1","4","1","1","1","5","5",2,"main","2",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"143","1","Approved",373,"obvious_failure","threatened_innocents","8638","variable","{}",2,"{}","avatar|power|progress","{}","avatar|power|progress","{}","role|power","{}","2","2","2","4","2","3","3","2","3","2","3","3","2","1","2","3",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"145","130","Approved",368,"obvious_failure","threatened_innocents","8638","consistent","{}",2,"Fun and unique survey - I love RPGs so this was right up my alley!","avatar|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","role|avatar|interesting|power","{}","2","2","1","5","2","5","4","1","2","1","3","4","3","1","4","4",2,"main","2",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"146","83","Approved",361,"obvious_failure","threatened_innocents","8638","consistent","{}",1,"None","avatar","{}","role","{}","avatar","{}","1","1","2","4","2","1","1","3","5","5","5","1","5","1","3","1",2,"alt","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"149","186","Approved",623,"obvious_failure","threatened_innocents","8638","consistent","{}",2,"{}","avatar","{}","avatar","{}","avatar","{}","4","3","3","4","3","5","4","2","3","1","3","3","3","1","4","3",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"150","138","Approved",196,"obvious_failure","threatened_innocents","8638","variable","{}",2,"{}","avatar|power","{}","avatar","{}","curious|avatar|interesting","{}","3",NA,"5","3","1","4","3","5","3","1","3","4","2","1","5","2",2,"main","2",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"151","116","Approved",567,"obvious_failure","threatened_innocents","8638","other","It depends on how deeply I am interacting with a character. I do have a general moral set for my characters, but certain characters require special play.",2,"{}","interesting|no-control|value-clash|progress","{}","avatar|interesting|power|progress|other","While obtaining a positive result from an action, not all positive actions promote good story development and might not actually be a good outcome.","role|avatar|power|other","If I have options to handle situations that do not rely on violence, I generally pick those first.","2","2","1","4","4","4","2","2","4","1","3","4","2","1","4","3",2,"main","2",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"152","143","Approved",458,"obvious_failure","threatened_innocents","8638","consistent","{}",2,"{}","interesting","{}","role","{}","power","{}","2","2","4","5","1","4","4","1","1","2","5","1","1","1","5","4",2,"main","2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"153","171","Approved",249,"obvious_failure","threatened_innocents","8638","variable","{}",2,"{}","avatar|no-control|value-clash|progress","{}","avatar|interesting|role|progress","{}","curious|role|interesting|power","{}","4","4","4","2","2","5","3","1","2","1","2","4","2","1","4","2",2,"main","2",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"155","152","Approved",424,"obvious_failure","threatened_innocents","8638","variable","{}",2,"I don't understand why the bandits didn't turn into chickens like they should have.  Otherwise, great survey; thanks!","avatar|interesting|no-control|value-clash|power|progress|other","when the outcome is NOT what it should have been, it's a bad outcome","role|power|progress|other","the outcome is good when it meets my expectations","role|avatar|interesting|power","{}","4","3","4","5","5","5","4","1","1","1","4","1","1","1","5","4",2,"main","2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
